type,name,slug,url_path,city,state,category_or_tags,official_site,gsc_clicks,gsc_impressions,gsc_ctr,gsc_avg_position,visibility_status,primary_serp_query,expected_competitors_above_ecke,likely_why_competitors_rank_higher
dungeon,Baltimore Playhouse,baltimore-playhouse,/dungeons/baltimore-playhouse,Baltimore,MD,BDSM Dungeon,https://baltimoreplayhouse.com/,82,1789,4.58%,9.76,Seen in GSC export,Baltimore Playhouse Baltimore MD,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Crucible,the-crucible-washington-dc,/dungeons/the-crucible-washington-dc,Washington DC,DC,BDSM Dungeon,https://the-crucible.com/,0,0,,,No matching GSC page row in export,The Crucible Washington DC DC,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Nest,the-nest-philadelphia-poconos,/dungeons/the-nest-philadelphia-poconos,Philadelphia,PA,Creative Arts Collective,https://www.theowlsnestgroup.com/,133,2025,6.57%,12.81,Seen in GSC export,The Nest Philadelphia PA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Sarasota Dark Temple,sarasota-dark-temple,/dungeons/sarasota-dark-temple,Sarasota,FL,Sacred Kink Sanctuary,https://floridakinkbdsm.com,66,747,8.84%,6.05,Seen in GSC export,Sarasota Dark Temple Sarasota FL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Woodshed,the-woodshed-orlando-florida,/dungeons/the-woodshed-orlando-florida,Orlando,FL,Private Kink Dungeon,https://www.thewoodshedorlando.com/,64,5195,1.23%,8.49,Seen in GSC export,The Woodshed Orlando FL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Honey Pot,the-honey-pot-arundel-county,/dungeons/the-honey-pot-arundel-county,Arundel County,MD,LGBTQ+ Friendly BDSM Dungeon,https://fetlife.com/groups/237462,280,1689,16.58%,14.23,Seen in GSC export,The Honey Pot Arundel County MD,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,OhioSMART,ohiosmart-dungeon-cleveland,/dungeons/ohiosmart-dungeon-cleveland,Cleveland,OH,BDSM Organization,https://ohiosmart.org/,96,2985,3.22%,8.96,Seen in GSC export,OhioSMART Cleveland OH,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Aphrodite Group,the-aphrodite-group,/dungeons/the-aphrodite-group,Rochester,NY,BDSM Dungeon,https://www.theaphroditegroup.org/,166,1671,9.93%,8.79,Seen in GSC export,The Aphrodite Group Rochester NY,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Ascend Hudson Valley Community,ascend-hudson-valley-community,/dungeons/ascend-hudson-valley-community,Hudson Valley,NY,Kink Community,https://fetlife.com/Ascend_HV,0,0,,,No matching GSC page row in export,Ascend Hudson Valley Community Hudson Valley NY,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Mark by CPI,the-mark-by-cpi-nashville,/dungeons/the-mark-by-cpi-nashville,Nashville,TN,Kink Community Center,https://themarkbycpi.org/,0,0,,,No matching GSC page row in export,The Mark by CPI Nashville TN,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The_LODGE brought to you by Lifestyle America Social Club Inc.,the-lodge-dover-plains,/dungeons/the-lodge-dover-plains,Dover Plains,NY,Education-First Community Venue,https://www.lifestyleamericasocialclubinc.com/,1,20,5%,6.9,Seen in GSC export,The_LODGE brought to you by Lifestyle America Social Club Inc. Dover Plains NY,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Aviary Philly,the-aviary-philly,/dungeons/the-aviary-philly,Philadelphia,PA,Kink Club,https://theaviaryphilly.com/,15,162,9.26%,7.59,Seen in GSC export,The Aviary Philly Philadelphia PA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,PLEASUREcation Party,pleasurecation-party,/dungeons/pleasurecation-party,Philadelphia,PA,BDSM/Swinger Party,https://pleasurecationparty.com/,0,0,,,No matching GSC page row in export,PLEASUREcation Party Philadelphia PA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Saints & Sinners,saints-and-sinners-philadelphia,/dungeons/saints-and-sinners-philadelphia,Philadelphia,PA,Swingers Club,https://saintsandsinnersclubs.com/,0,0,,,No matching GSC page row in export,Saints & Sinners Philadelphia PA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Korral,the-korral,/dungeons/the-korral,Spring Grove,PA,Private Members Club,https://thekorral.com/,0,381,0%,11.87,Seen in GSC export,The Korral Spring Grove PA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Paddles,paddles-nyc,/dungeons/paddles-nyc,New York,NY,BDSM Dungeon,https://paddlesnyc.com/,0,0,,,No matching GSC page row in export,Paddles New York NY,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Eulenspiegel Society (TES),tes-nyc,/dungeons/tes-nyc,New York,NY,Community Organization,https://www.tes.org/,0,0,,,No matching GSC page row in export,The Eulenspiegel Society (TES) New York NY,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Black Rose,black-rose-dc,/dungeons/black-rose-dc,Washington,DC,Community Organization,https://www.br.org/,1,20,5%,8,Seen in GSC export,Black Rose Washington DC,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Metro Underground / DC Fetish Ball,metro-underground-dc,/dungeons/metro-underground-dc,Washington,DC,Venue & Producer,https://www.themetrounderground.com/,0,0,,,No matching GSC page row in export,Metro Underground / DC Fetish Ball Washington DC,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Fetish Factory,fetish-factory-ft-lauderdale,/dungeons/fetish-factory-ft-lauderdale,Fort Lauderdale,FL,Event Producer,https://fetishfactory.com/,0,11,0%,15.18,Seen in GSC export,Fetish Factory Fort Lauderdale FL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,New England Leather Alliance (NELA),nela-new-england,/dungeons/nela-new-england,Boston,MA,Community Organization,https://nela.org/,0,0,,,No matching GSC page row in export,New England Leather Alliance (NELA) Boston MA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Deviance Tampa Bay,deviance-tampa-bay,/dungeons/deviance-tampa-bay,Tampa,FL,BDSM Dungeon,https://deviancetampabay.com/,1,52,1.92%,8.44,Seen in GSC export,Deviance Tampa Bay Tampa FL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Galleria Domain 2,galleria-domain-2-chicago,/dungeons/galleria-domain-2-chicago,Chicago,IL,BDSM Dungeon,https://galleriadomain.org/,2,183,1.09%,6.83,Seen in GSC export,Galleria Domain 2 Chicago IL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The LoftNC,the-loftnc-gastonia-nc,/dungeons/the-loftnc-gastonia-nc,Gastonia,NC,BDSM Dungeon,https://loftnc.com/,0,0,,,No matching GSC page row in export,The LoftNC Gastonia NC,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Oblige,oblige-detroit,/dungeons/oblige-detroit,Detroit,MI,BDSM Dungeon,https://www.obligerope.org/,0,0,,,No matching GSC page row in export,Oblige Detroit MI,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Academy of Fetish Arts,academy-of-fetish-arts-cleveland,/dungeons/academy-of-fetish-arts-cleveland,Cleveland,OH,BDSM Dungeon,https://cle-afa.com/,0,0,,,No matching GSC page row in export,The Academy of Fetish Arts Cleveland OH,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Emporium (Kink Haven),the-emporium-kink-haven-connecticut,/dungeons/the-emporium-kink-haven-connecticut,Connecticut,CT,Community Organization,https://www.the-emporium.org/,0,0,,,No matching GSC page row in export,The Emporium (Kink Haven) Connecticut CT,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Chicago Rose,chicago-rose-club,/dungeons/chicago-rose-club,Chicago,IL,BDSM Dungeon,https://www.thechicagoroseclub.org/,0,0,,,No matching GSC page row in export,The Chicago Rose Chicago IL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,LRA Chicago,lra-chicago,/dungeons/lra-chicago,Chicago,IL,BDSM Dungeon,https://lra-chicago.org/,0,0,,,No matching GSC page row in export,LRA Chicago Chicago IL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Arcadia Collective Detroit,arcadia-collective-detroit,/dungeons/arcadia-collective-detroit,Troy,MI,BDSM Dungeon,https://www.arcadiacollectivedetroit.org/,0,0,,,No matching GSC page row in export,Arcadia Collective Detroit Troy MI,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Diosa's Play Space,diosas-play-space-winchester,/dungeons/diosas-play-space-winchester,Winchester,VA,BDSM Dungeon,https://visitdiosa.com/,0,0,,,No matching GSC page row in export,Diosa's Play Space Winchester VA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,SubSpace Indy,subspace-indy,/dungeons/subspace-indy,Indianapolis,IN,BDSM Dungeon,https://subspaceindy.com/,0,0,,,No matching GSC page row in export,SubSpace Indy Indianapolis IN,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Oklahoma Power Exchange,oklahoma-power-exchange-okc,/dungeons/oklahoma-power-exchange-okc,Oklahoma City metro,OK,BDSM Dungeon,https://www.oklahomapowerexchange.com/,0,0,,,No matching GSC page row in export,Oklahoma Power Exchange Oklahoma City metro OK,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Infliction Hall,infliction-hall-dfw-tx,/dungeons/infliction-hall-dfw-tx,DFW / Euless area,TX,BDSM Dungeon,https://inflictionhall.com/,0,0,,,No matching GSC page row in export,Infliction Hall DFW / Euless area TX,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Shrine Parties,shrine-parties-austin-tx,/dungeons/shrine-parties-austin-tx,Austin,TX,BDSM Dungeon,https://shrineparties.com/,0,0,,,No matching GSC page row in export,Shrine Parties Austin TX,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Pendulum Club,pendulum-club-houston-tx,/dungeons/pendulum-club-houston-tx,Houston,TX,Lifestyle Club,https://pendulum.club/,0,0,,,No matching GSC page row in export,The Pendulum Club Houston TX,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Vortex Parties,vortex-parties-omaha-des-moines,/dungeons/vortex-parties-omaha-des-moines,Des Moines & Omaha,IA,BDSM Dungeon,https://vortexparties.com/,0,0,,,No matching GSC page row in export,Vortex Parties Des Moines & Omaha IA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Happy Kitten Portal,happy-kitten-portal-new-orleans,/dungeons/happy-kitten-portal-new-orleans,New Orleans,LA,BDSM Dungeon,https://portalnola.com/,0,0,,,No matching GSC page row in export,The Happy Kitten Portal New Orleans LA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Alaska Club Kink,alaska-club-kink-anchorage,/dungeons/alaska-club-kink-anchorage,Anchorage,AK,BDSM Dungeon,https://alaskaclubkink.com/,0,0,,,No matching GSC page row in export,Alaska Club Kink Anchorage AK,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Black Thorn,black-thorn-oakland,/dungeons/black-thorn-oakland,Oakland,CA,Private Kink Dungeon,https://black-thorn.org/,0,0,,,No matching GSC page row in export,Black Thorn Oakland CA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Center for Sex Positive Culture (CSPC),cspc-seattle,/dungeons/cspc-seattle,Seattle,WA,Kink Community Center,https://thecspc.org/,0,0,,,No matching GSC page row in export,Center for Sex Positive Culture (CSPC) Seattle WA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Crow's Nest Escape,crows-nest-seattle,/dungeons/crows-nest-seattle,Seattle,WA,Private Kink Dungeon,https://www.thecrowsnestescape.com/,0,0,,,No matching GSC page row in export,The Crow's Nest Escape Seattle WA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Denver Sanctuary,denver-sanctuary-denver,/dungeons/denver-sanctuary-denver,Denver,CO,BDSM Dungeon,https://www.denversanctuary.com/,0,0,,,No matching GSC page row in export,The Denver Sanctuary Denver CO,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Kink Center,kink-center-seattle,/dungeons/kink-center-seattle,Seattle,WA,Kink Community Center,https://kinkcenter.org/,0,0,,,No matching GSC page row in export,Kink Center Seattle WA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Purgatory Dungeon,purgatory-dungeon-albuquerque,/dungeons/purgatory-dungeon-albuquerque,Albuquerque,NM,BDSM Dungeon,https://purgatorydungeon.com/,0,0,,,No matching GSC page row in export,Purgatory Dungeon Albuquerque NM,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The R.A.C.K. Room,rack-room-aurora-co,/dungeons/rack-room-aurora-co,Aurora,CO,Kink Club,https://rackroomdenver.com/,0,0,,,No matching GSC page row in export,The R.A.C.K. Room Aurora CO,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Sanctuary,sanctuary-portland-pdx,/dungeons/sanctuary-portland-pdx,Portland,OR,BDSM Dungeon,https://pdxsanctuary.com/,0,0,,,No matching GSC page row in export,Sanctuary Portland OR,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,STL3 (Gateway Alternative Lifestyle Center),stl3-st-louis,/dungeons/stl3-st-louis,St. Louis,MO,Community Organization,https://stl3.com/,0,0,,,No matching GSC page row in export,STL3 (Gateway Alternative Lifestyle Center) St. Louis MO,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Sub Rosa Studios,sub-rosa-portland,/dungeons/sub-rosa-portland,Portland,OR,Private Kink Dungeon,https://subrosapdx.com/,0,0,,,No matching GSC page row in export,Sub Rosa Studios Portland OR,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,SubSpace Seattle,subspace-seattle-tukwila,/dungeons/subspace-seattle-tukwila,Tukwila,WA,BDSM Dungeon,https://subspaceseattle.com/,0,0,,,No matching GSC page row in export,SubSpace Seattle Tukwila WA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Threshold Society,threshold-society-los-angeles,/dungeons/threshold-society-los-angeles,Los Angeles,CA,Education-First Community Venue,https://thresholdla.org/,0,0,,,No matching GSC page row in export,Threshold Society Los Angeles CA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,DFW Dungeon,dfw-dungeon-dallas-tx,/dungeons/dfw-dungeon-dallas-tx,Dallas,TX,BDSM Dungeon,https://dfwdungeon.com/,0,0,,,No matching GSC page row in export,DFW Dungeon Dallas TX,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Stopgap,stopgap-san-francisco-ca,/dungeons/stopgap-san-francisco-ca,San Francisco,CA,BDSM Dungeon,https://stopgap.afterdark-events.com/,0,0,,,No matching GSC page row in export,Stopgap San Francisco CA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Paradox,paradox-san-francisco-ca,/dungeons/paradox-san-francisco-ca,San Francisco,CA,BDSM Dungeon,https://www.paradox-sf.com/,0,0,,,No matching GSC page row in export,Paradox San Francisco CA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Transform1060,transform1060-san-francisco-ca,/dungeons/transform1060-san-francisco-ca,San Francisco,CA,501(c)(3) Community Space,https://www.transform1060.org/,0,0,,,No matching GSC page row in export,Transform1060 San Francisco CA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,910WeHo,910-weho-west-hollywood-ca,/dungeons/910-weho-west-hollywood-ca,West Hollywood,CA,Education & Community Space,https://www.910weho.com/,0,0,,,No matching GSC page row in export,910WeHo West Hollywood CA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Mission Control,mission-control-san-francisco-ca,/dungeons/mission-control-san-francisco-ca,San Francisco,CA,Sex-Positive Community,https://missioncontrolsf.org/,0,0,,,No matching GSC page row in export,Mission Control San Francisco CA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,B.O.I.N.K.,boink-holyoke-ma,/dungeons/boink-holyoke-ma,Holyoke,MA,BDSM Dungeon & Retail,https://www.boink-ed.com/,0,0,,,No matching GSC page row in export,B.O.I.N.K. Holyoke MA,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Heartland Kinbaku,heartland-kinbaku-chicago-il,/dungeons/heartland-kinbaku-chicago-il,Chicago,IL,Rope Education Studio,https://www.heartlandkinbaku.com/,0,0,,,No matching GSC page row in export,Heartland Kinbaku Chicago IL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,Arizona Power Exchange (APEX),arizona-power-exchange-phoenix-az,/dungeons/arizona-power-exchange-phoenix-az,Phoenix,AZ,BDSM Dungeon,https://arizonapowerexchange.org/,0,0,,,No matching GSC page row in export,Arizona Power Exchange (APEX) Phoenix AZ,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
dungeon,The Vulgarians,the-vulgarians,/dungeons/the-vulgarians,Florida Panhandle,FL,Private Kink Dungeon,https://thevulgarians.com/,0,0,,,No matching GSC page row in export,The Vulgarians Florida Panhandle FL,"Official website, social profiles, event/venue platforms, local/business directories","Official venue/social/local pages usually have exact NAP, branded searches, reviews/social engagement, and stronger entity trust."
swing-club,Badd Kitty Club,badd-kitty-club-fredonia-ny,/swing-clubs/badd-kitty-club-fredonia-ny,Fredonia,NY,Swing / lifestyle club,http://www.baddkittyclub.com/,0,0,,,No matching GSC page row in export,Badd Kitty Club Fredonia NY,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Blue Moon Social,blue-moon-social-corrales-nm,/swing-clubs/blue-moon-social-corrales-nm,Corrales,NM,Swing / lifestyle club,https://www.bluemoonsocial.com/,0,0,,,No matching GSC page row in export,Blue Moon Social Corrales NM,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Body Shop Pittsburgh,body-shop-pittsburgh-pa,/swing-clubs/body-shop-pittsburgh-pa,Pittsburgh,PA,Swing / lifestyle club,https://bodyshopclubs.com/,0,0,,,No matching GSC page row in export,Body Shop Pittsburgh Pittsburgh PA,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Caligula New York,caligula-new-york-astoria,/swing-clubs/caligula-new-york-astoria,Astoria,NY,Swing / lifestyle club,http://www.caligulany.com/,0,0,,,No matching GSC page row in export,Caligula New York Astoria NY,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Checkmate NYC,checkmate-nyc-manhattan,/swing-clubs/checkmate-nyc-manhattan,New York,NY,Swing / lifestyle club,https://www.checkmatenyc.com/,0,0,,,No matching GSC page row in export,Checkmate NYC New York NY,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Choice Social Club,choice-social-club-cranston-ri,/swing-clubs/choice-social-club-cranston-ri,Cranston,RI,Swing / lifestyle club,https://www.choicesocialclub.com/,0,0,,,No matching GSC page row in export,Choice Social Club Cranston RI,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Crave OKC,club-crave-okc-ok,/swing-clubs/club-crave-okc-ok,Oklahoma City,OK,Swing / lifestyle club,https://www.clubcraveokc.com/,0,0,,,No matching GSC page row in export,Club Crave OKC Oklahoma City OK,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Eden DFW,club-eden-dfw-tx,/swing-clubs/club-eden-dfw-tx,Euless,TX,Swing / lifestyle club,https://edenclubs.com/dallas-fortworth/,0,0,,,No matching GSC page row in export,Club Eden DFW Euless TX,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Eden OKC,club-eden-okklahoma-city-ok,/swing-clubs/club-eden-okklahoma-city-ok,Oklahoma City,OK,Swing / lifestyle club,https://edenclubs.com/oklahomacity/,0,0,,,No matching GSC page row in export,Club Eden OKC Oklahoma City OK,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Eden San Antonio,club-eden-san-antonio-tx,/swing-clubs/club-eden-san-antonio-tx,San Antonio,TX,Swing / lifestyle club,https://edenclubs.com/locations/san/,0,0,,,No matching GSC page row in export,Club Eden San Antonio San Antonio TX,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Encounters,club-encounters-phoenix-az,/swing-clubs/club-encounters-phoenix-az,Phoenix,AZ,Swing / lifestyle club,https://clubencounters.com/,0,0,,,No matching GSC page row in export,Club Encounters Phoenix AZ,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club FA (Freedom Acres),club-fa-san-bernardino-ca,/swing-clubs/club-fa-san-bernardino-ca,San Bernardino,CA,Swing / lifestyle club,https://clubfa.com/,0,0,,,No matching GSC page row in export,Club FA (Freedom Acres) San Bernardino CA,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club G (Des Moines),club-g-des-moines-ia,/swing-clubs/club-g-des-moines-ia,Des Moines,IA,Swing / lifestyle club,https://desmoineslifestylesclub.com/,0,0,,,No matching GSC page row in export,Club G (Des Moines) Des Moines IA,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Joi,club-joi-los-angeles-ca,/swing-clubs/club-joi-los-angeles-ca,Los Angeles,CA,Swing / lifestyle club,https://clubjoi.com/,0,0,,,No matching GSC page row in export,Club Joi Los Angeles CA,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club KISS,club-kiss-san-francisco-ca,/swing-clubs/club-kiss-san-francisco-ca,San Francisco,CA,Swing / lifestyle club,https://clubkiss.us/,0,0,,,No matching GSC page row in export,Club KISS San Francisco CA,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Labyrinth NYC,club-labyrinth-nyc-manhattan,/swing-clubs/club-labyrinth-nyc-manhattan,New York,NY,Swing / lifestyle club,https://clublabyrinth.com/,0,0,,,No matching GSC page row in export,Club Labyrinth NYC New York NY,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
swing-club,Club Privata,club-privata-portland-or,/swing-clubs/club-privata-portland-or,Portland,OR,Swing / lifestyle club,https://clubprivata.com/,0,0,,,No matching GSC page row in export,Club Privata Portland OR,"Official website, social profiles, event/venue platforms, local/business directories",Official club pages and lifestyle directories usually match local/brand intent and have more direct business signals.
